raw_material,impact,unit,iso2c,value,iso3c,allocation,FAOSTAT_name
Broad bean,Freshwater eutrophication,kg P eq,IT,7.92e-4,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Marine eutrophication,kg N eq,AU,1.15e-4,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Marine eutrophication,kg N eq,DE,0.001628,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Marine eutrophication,kg N eq,FR,0.001122,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Marine eutrophication,kg N eq,GB,0.001438,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Marine eutrophication,kg N eq,IT,0.001284,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial ecotoxicity,"kg 1,4-DCB",AU,5.613101,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial ecotoxicity,"kg 1,4-DCB",DE,5.200142,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial ecotoxicity,"kg 1,4-DCB",FR,7.271893,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial ecotoxicity,"kg 1,4-DCB",GB,5.969475,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial ecotoxicity,"kg 1,4-DCB",IT,12.32443,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater ecotoxicity,"kg 1,4-DCB",AU,0.506187,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater ecotoxicity,"kg 1,4-DCB",DE,0.267149,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater ecotoxicity,"kg 1,4-DCB",FR,0.244407,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater ecotoxicity,"kg 1,4-DCB",GB,0.181102,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater ecotoxicity,"kg 1,4-DCB",IT,0.303797,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Marine ecotoxicity,"kg 1,4-DCB",AU,0.140558,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Marine ecotoxicity,"kg 1,4-DCB",DE,0.083958,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Marine ecotoxicity,"kg 1,4-DCB",FR,0.055692,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Marine ecotoxicity,"kg 1,4-DCB",GB,0.040288,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Marine ecotoxicity,"kg 1,4-DCB",IT,0.107798,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Human carcinogenic toxicity,"kg 1,4-DCB",AU,0.018457,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Human carcinogenic toxicity,"kg 1,4-DCB",DE,0.008463,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Human carcinogenic toxicity,"kg 1,4-DCB",FR,0.010734,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Human carcinogenic toxicity,"kg 1,4-DCB",GB,0.008464,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Human carcinogenic toxicity,"kg 1,4-DCB",IT,0.017622,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Human non-carcinogenic toxicity,"kg 1,4-DCB",AU,1.458437,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Human non-carcinogenic toxicity,"kg 1,4-DCB",DE,3.070382,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Human non-carcinogenic toxicity,"kg 1,4-DCB",FR,1.77496,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Human non-carcinogenic toxicity,"kg 1,4-DCB",GB,2.05221,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Human non-carcinogenic toxicity,"kg 1,4-DCB",IT,4.758931,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Land use,m2a crop eq,AU,5.982158,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Land use,m2a crop eq,DE,2.259631,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Land use,m2a crop eq,FR,3.072967,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Land use,m2a crop eq,GB,2.400821,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Land use,m2a crop eq,IT,4.407992,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Mineral resource scarcity,kg Cu eq,AU,0.003438,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Mineral resource scarcity,kg Cu eq,DE,0.001009,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Mineral resource scarcity,kg Cu eq,FR,0.001371,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Mineral resource scarcity,kg Cu eq,GB,0.001032,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Mineral resource scarcity,kg Cu eq,IT,0.002025,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Fossil resource scarcity,kg oil eq,AU,0.14805,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Fossil resource scarcity,kg oil eq,DE,0.060425,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Fossil resource scarcity,kg oil eq,FR,0.072362,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Fossil resource scarcity,kg oil eq,GB,0.05561,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Fossil resource scarcity,kg oil eq,IT,0.122386,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Water consumption,m3,AU,0.00172,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Water consumption,m3,DE,7.09e-4,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Water consumption,m3,FR,0.015158,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Water consumption,m3,GB,6.75e-4,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Water consumption,m3,IT,0.001312,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Global warming,kg CO2 eq,AU,0.720313,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Global warming,kg CO2 eq,DE,0.387755,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Global warming,kg CO2 eq,FR,0.841741,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Global warming,kg CO2 eq,GB,0.314096,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Global warming,kg CO2 eq,IT,0.695671,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Stratospheric ozone depletion,kg CFC11 eq,AU,3.74e-6,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Stratospheric ozone depletion,kg CFC11 eq,DE,6.66e-6,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Stratospheric ozone depletion,kg CFC11 eq,FR,4.56e-6,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Stratospheric ozone depletion,kg CFC11 eq,GB,4.95e-6,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Stratospheric ozone depletion,kg CFC11 eq,IT,8.77e-6,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Ionizing radiation,kBq Co-60 eq,AU,0.016898,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Ionizing radiation,kBq Co-60 eq,DE,0.007927,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Ionizing radiation,kBq Co-60 eq,FR,0.012487,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Ionizing radiation,kBq Co-60 eq,GB,0.007915,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Ionizing radiation,kBq Co-60 eq,IT,0.014137,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Human health",kg NOx eq,AU,0.001378,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Human health",kg NOx eq,DE,9.27e-4,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Human health",kg NOx eq,FR,0.001209,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Human health",kg NOx eq,GB,6.9e-4,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Human health",kg NOx eq,IT,0.00331,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Fine particulate matter formation,kg PM2.5 eq,AU,5.28e-4,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Fine particulate matter formation,kg PM2.5 eq,DE,0.00191,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Fine particulate matter formation,kg PM2.5 eq,FR,7.6e-4,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Fine particulate matter formation,kg PM2.5 eq,GB,0.001164,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Fine particulate matter formation,kg PM2.5 eq,IT,0.003408,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Terrestrial ecosystems",kg NOx eq,AU,0.001395,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Terrestrial ecosystems",kg NOx eq,DE,0.002309,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Terrestrial ecosystems",kg NOx eq,FR,0.001552,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Terrestrial ecosystems",kg NOx eq,GB,9.7e-4,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Terrestrial ecosystems",kg NOx eq,IT,0.005268,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial acidification,kg SO2 eq,AU,0.001424,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial acidification,kg SO2 eq,DE,0.003456,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial acidification,kg SO2 eq,FR,0.001809,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial acidification,kg SO2 eq,GB,0.00167,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial acidification,kg SO2 eq,IT,0.005095,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater eutrophication,kg P eq,AU,0.001247,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater eutrophication,kg P eq,DE,4.63e-4,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater eutrophication,kg P eq,FR,5.13e-4,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater eutrophication,kg P eq,GB,4.46e-4,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater eutrophication,kg P eq,IT,7.92e-4,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Marine eutrophication,kg N eq,AU,1.15e-4,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Marine eutrophication,kg N eq,DE,0.001628,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Marine eutrophication,kg N eq,FR,0.001122,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Marine eutrophication,kg N eq,GB,0.001438,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Marine eutrophication,kg N eq,IT,0.001284,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial ecotoxicity,"kg 1,4-DCB",AU,5.613101,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial ecotoxicity,"kg 1,4-DCB",DE,5.200142,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial ecotoxicity,"kg 1,4-DCB",FR,7.271893,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial ecotoxicity,"kg 1,4-DCB",GB,5.969475,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial ecotoxicity,"kg 1,4-DCB",IT,12.32443,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater ecotoxicity,"kg 1,4-DCB",AU,0.506187,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater ecotoxicity,"kg 1,4-DCB",DE,0.267149,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater ecotoxicity,"kg 1,4-DCB",FR,0.244407,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater ecotoxicity,"kg 1,4-DCB",GB,0.181102,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater ecotoxicity,"kg 1,4-DCB",IT,0.303797,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Marine ecotoxicity,"kg 1,4-DCB",AU,0.140558,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Marine ecotoxicity,"kg 1,4-DCB",DE,0.083958,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Marine ecotoxicity,"kg 1,4-DCB",FR,0.055692,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Marine ecotoxicity,"kg 1,4-DCB",GB,0.040288,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Marine ecotoxicity,"kg 1,4-DCB",IT,0.107798,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Human carcinogenic toxicity,"kg 1,4-DCB",AU,0.018457,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Human carcinogenic toxicity,"kg 1,4-DCB",DE,0.008463,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Human carcinogenic toxicity,"kg 1,4-DCB",FR,0.010734,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Human carcinogenic toxicity,"kg 1,4-DCB",GB,0.008464,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Human carcinogenic toxicity,"kg 1,4-DCB",IT,0.017622,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Human non-carcinogenic toxicity,"kg 1,4-DCB",AU,1.458437,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Human non-carcinogenic toxicity,"kg 1,4-DCB",DE,3.070382,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Human non-carcinogenic toxicity,"kg 1,4-DCB",FR,1.77496,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Human non-carcinogenic toxicity,"kg 1,4-DCB",GB,2.05221,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Human non-carcinogenic toxicity,"kg 1,4-DCB",IT,4.758931,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Land use,m2a crop eq,AU,5.982158,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Land use,m2a crop eq,DE,2.259631,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Land use,m2a crop eq,FR,3.072967,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Land use,m2a crop eq,GB,2.400821,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Land use,m2a crop eq,IT,4.407992,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Mineral resource scarcity,kg Cu eq,AU,0.003438,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Mineral resource scarcity,kg Cu eq,DE,0.001009,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Mineral resource scarcity,kg Cu eq,FR,0.001371,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Mineral resource scarcity,kg Cu eq,GB,0.001032,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Mineral resource scarcity,kg Cu eq,IT,0.002025,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Fossil resource scarcity,kg oil eq,AU,0.14805,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Fossil resource scarcity,kg oil eq,DE,0.060425,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Fossil resource scarcity,kg oil eq,FR,0.072362,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Fossil resource scarcity,kg oil eq,GB,0.05561,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Fossil resource scarcity,kg oil eq,IT,0.122386,ITA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Water consumption,m3,AU,0.00172,AUS,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Water consumption,m3,DE,7.09e-4,DEU,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Water consumption,m3,FR,0.015158,FRA,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Water consumption,m3,GB,6.75e-4,GBR,Mass allocation,"Broad beans, horse beans, dry"
Broad bean,Water consumption,m3,IT,0.001312,ITA,Mass allocation,"Broad beans, horse beans, dry"
Guar bean,Global warming,kg CO2 eq,IN,2.121322,IND,Energetic allocation,Pulses nes
Guar bean,Stratospheric ozone depletion,kg CFC11 eq,IN,1.9e-5,IND,Energetic allocation,Pulses nes
Guar bean,Ionizing radiation,kBq Co-60 eq,IN,0.022372,IND,Energetic allocation,Pulses nes
Guar bean,"Ozone formation, Human health",kg NOx eq,IN,0.005856,IND,Energetic allocation,Pulses nes
Guar bean,Fine particulate matter formation,kg PM2.5 eq,IN,0.004479,IND,Energetic allocation,Pulses nes
Guar bean,"Ozone formation, Terrestrial ecosystems",kg NOx eq,IN,0.005886,IND,Energetic allocation,Pulses nes
Guar bean,Terrestrial acidification,kg SO2 eq,IN,0.021793,IND,Energetic allocation,Pulses nes
Guar bean,Freshwater eutrophication,kg P eq,IN,0.001181,IND,Energetic allocation,Pulses nes
Guar bean,Marine eutrophication,kg N eq,IN,0.006452,IND,Energetic allocation,Pulses nes
Guar bean,Terrestrial ecotoxicity,"kg 1,4-DCB",IN,2.873708,IND,Energetic allocation,Pulses nes
Guar bean,Freshwater ecotoxicity,"kg 1,4-DCB",IN,0.043313,IND,Energetic allocation,Pulses nes
Guar bean,Marine ecotoxicity,"kg 1,4-DCB",IN,0.039766,IND,Energetic allocation,Pulses nes
Guar bean,Human carcinogenic toxicity,"kg 1,4-DCB",IN,0.036857,IND,Energetic allocation,Pulses nes
Guar bean,Human non-carcinogenic toxicity,"kg 1,4-DCB",IN,1.444219,IND,Energetic allocation,Pulses nes
Guar bean,Land use,m2a crop eq,IN,26.31324,IND,Energetic allocation,Pulses nes
Guar bean,Mineral resource scarcity,kg Cu eq,IN,0.009336,IND,Energetic allocation,Pulses nes
Guar bean,Fossil resource scarcity,kg oil eq,IN,0.223932,IND,Energetic allocation,Pulses nes
Guar bean,Water consumption,m3,IN,0.485917,IND,Energetic allocation,Pulses nes
Guar bean,Global warming,kg CO2 eq,IN,2.121322,IND,Mass allocation,Pulses nes
Guar bean,Stratospheric ozone depletion,kg CFC11 eq,IN,1.9e-5,IND,Mass allocation,Pulses nes
Guar bean,Ionizing radiation,kBq Co-60 eq,IN,0.022372,IND,Mass allocation,Pulses nes
Guar bean,"Ozone formation, Human health",kg NOx eq,IN,0.005856,IND,Mass allocation,Pulses nes
Guar bean,Fine particulate matter formation,kg PM2.5 eq,IN,0.004479,IND,Mass allocation,Pulses nes
Guar bean,"Ozone formation, Terrestrial ecosystems",kg NOx eq,IN,0.005886,IND,Mass allocation,Pulses nes
Guar bean,Terrestrial acidification,kg SO2 eq,IN,0.021793,IND,Mass allocation,Pulses nes
Guar bean,Freshwater eutrophication,kg P eq,IN,0.001181,IND,Mass allocation,Pulses nes
Guar bean,Marine eutrophication,kg N eq,IN,0.006452,IND,Mass allocation,Pulses nes
Guar bean,Terrestrial ecotoxicity,"kg 1,4-DCB",IN,2.873708,IND,Mass allocation,Pulses nes
Guar bean,Freshwater ecotoxicity,"kg 1,4-DCB",IN,0.043313,IND,Mass allocation,Pulses nes
Guar bean,Marine ecotoxicity,"kg 1,4-DCB",IN,0.039766,IND,Mass allocation,Pulses nes
Guar bean,Human carcinogenic toxicity,"kg 1,4-DCB",IN,0.036857,IND,Mass allocation,Pulses nes
Guar bean,Human non-carcinogenic toxicity,"kg 1,4-DCB",IN,1.444219,IND,Mass allocation,Pulses nes
Guar bean,Land use,m2a crop eq,IN,26.31324,IND,Mass allocation,Pulses nes
Guar bean,Mineral resource scarcity,kg Cu eq,IN,0.009336,IND,Mass allocation,Pulses nes
Guar bean,Fossil resource scarcity,kg oil eq,IN,0.223932,IND,Mass allocation,Pulses nes
Guar bean,Water consumption,m3,IN,0.485917,IND,Mass allocation,Pulses nes
Linseed,Global warming,kg CO2 eq,AR,0.548465,ARG,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,AT,1.078674,AUT,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,BE,2.707543,BEL,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,BG,1.950687,BGR,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,BY,3.215655,BLR,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,CA,0.904117,CAN,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,CN,0.923679,CHN,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,CZ,0.857277,CZE,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,DE,0.958749,DEU,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,DK,9.516069,DNK,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,ES,2.003096,ESP,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,FR,1.3803,FRA,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,GB,0.705671,GBR,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,HU,1.193523,HUN,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,IN,1.706105,IND,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,IT,2.489007,ITA,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,LT,1.092742,LTU,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,LV,0.937786,LVA,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,PL,0.87162,POL,Energetic allocation,Linseed
Linseed,Global warming,kg CO2 eq,RO,0.73383,ROU,Energetic allocation,Linseed
