id,result_code,result_title,result_timing,result_scope,result_severity,result_score,result_invasive,spp_id,api_error
714,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
714,2.1.1,Shifting agriculture,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
714,2.1.2,Small-holder farming,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
714,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
714,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
741,2.1,Annual & perennial non-timber crops,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,NA,NA,NA
741,2.1.2,Small-holder farming,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,NA,NA,NA
779,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
779,9.3,Agricultural & forestry effluents,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
779,9.3.1,Nutrient loads,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
781,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
781,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
781,9.3,Agricultural & forestry effluents,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
781,9.3.3,Herbicides and pesticides,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
790,7.2.3,Abstraction of surface water (agricultural use),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
790,7.2.7,Abstraction of ground water (agricultural use),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
809,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
810,2.3,Livestock farming & ranching,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,NA,NA,NA
811,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
811,2.1.1,Shifting agriculture,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
811,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
812,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
812,2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
812,2.3,Livestock farming & ranching,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
815,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
815,2.1.1,Shifting agriculture,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
815,2.3,Livestock farming & ranching,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
816,2.3,Livestock farming & ranching,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
817,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
817,2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
817,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
881,2.1,Annual & perennial non-timber crops,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
881,2.1.3,Agro-industry farming,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
881,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
881,2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
881,7.2.3,Abstraction of surface water (agricultural use),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
881,9.3,Agricultural & forestry effluents,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
881,9.3.1,Nutrient loads,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
881,9.3.3,Herbicides and pesticides,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
1087,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,NA,NA,NA
1087,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1087,2.1.2,Small-holder farming,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1087,2.1.3,Agro-industry farming,Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,NA,NA,NA
1087,2.2.2,Agro-industry plantations,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1087,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1087,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1089,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1089,2.1.2,Small-holder farming,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1089,2.1.3,Agro-industry farming,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1089,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1089,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1089,2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1117,2.3,Livestock farming & ranching,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1117,2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1117,7.2.3,Abstraction of surface water (agricultural use),Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
1141,2.3,Livestock farming & ranching,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1167,2.2.2,Agro-industry plantations,Ongoing,Minority (<50%),Very Rapid Declines,Medium Impact: 7,NA,NA,NA
1167,2.3,Livestock farming & ranching,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
1167,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
1259,5.4,Fishing & harvesting aquatic resources,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1291,9.3,Agricultural & forestry effluents,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1291,9.3.1,Nutrient loads,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1620,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1620,2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1620,2.1.2,Small-holder farming,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1620,2.1.3,Agro-industry farming,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1620,2.2.1,Small-holder plantations,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1677,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1681,2.3,Livestock farming & ranching,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1681,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1793,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,NA,NA,NA
1793,2.1.2,Small-holder farming,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,NA,NA,NA
1793,2.1.3,Agro-industry farming,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,NA,NA,NA
1793,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
1793,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1793,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
1793,2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
1793,5.4,Fishing & harvesting aquatic resources,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
1793,9.3,Agricultural & forestry effluents,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1794,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,NA,NA,NA
1794,2.1.2,Small-holder farming,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,NA,NA,NA
1794,2.2.1,Small-holder plantations,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,NA,NA,NA
1843,7.2.3,Abstraction of surface water (agricultural use),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1843,7.2.7,Abstraction of ground water (agricultural use),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1849,7.2.3,Abstraction of surface water (agricultural use),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1849,7.2.7,Abstraction of ground water (agricultural use),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1850,7.2.3,Abstraction of surface water (agricultural use),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
1850,7.2.7,Abstraction of ground water (agricultural use),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
84767995,2.2.1,Small-holder plantations,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
84767995,2.3,Livestock farming & ranching,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
84767995,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
84768123,7.2.3,Abstraction of surface water (agricultural use),Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,NA,NA,NA
84768123,7.2.7,Abstraction of ground water (agricultural use),Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,NA,NA,NA
84768229,5.4,Fishing & harvesting aquatic resources,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
84768229,9.3,Agricultural & forestry effluents,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
84768229,9.3,Agricultural & forestry effluents,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,NA,NA,NA
84768229,9.3.1,Nutrient loads,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,NA,NA,NA
84768401,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
84768401,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
84768401,7.2.3,Abstraction of surface water (agricultural use),Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,NA,NA,NA
84882338,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
84882338,2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
84882338,2.1.2,Small-holder farming,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
84882338,2.1.3,Agro-industry farming,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
84882338,2.2.1,Small-holder plantations,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
84882338,2.2.2,Agro-industry plantations,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
84883915,2.1,Annual & perennial non-timber crops,Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,NA,NA,NA
84883915,2.1,Annual & perennial non-timber crops,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
84883915,2.1.1,Shifting agriculture,Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,NA,NA,NA
84883915,2.1.2,Small-holder farming,Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,NA,NA,NA
84883915,2.1.3,Agro-industry farming,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
84883915,2.2.1,Small-holder plantations,Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,NA,NA,NA
84891540,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,NA,NA,NA
84891540,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
84891540,2.1.1,Shifting agriculture,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
84891540,2.1.2,Small-holder farming,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
84891540,2.1.3,Agro-industry farming,Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,NA,NA,NA
84898321,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
84898321,2.1.2,Small-holder farming,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85199559,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85199559,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85199559,2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85199559,2.1.3,Agro-industry farming,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85199559,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85199559,2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85281866,2.4,Marine & freshwater aquaculture,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281866,2.4.1,Subsistence/artisinal aquaculture,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281866,5.4,Fishing & harvesting aquatic resources,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
85281866,9.3,Agricultural & forestry effluents,Ongoing,Unknown,Causing/Could cause fluctuations,Unknown,NA,NA,NA
85281866,9.3.1,Nutrient loads,Ongoing,Unknown,Causing/Could cause fluctuations,Unknown,NA,NA,NA
85281941,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281941,2.1.3,Agro-industry farming,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281941,2.2.2,Agro-industry plantations,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281941,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281941,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281941,2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281941,5.4,Fishing & harvesting aquatic resources,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281941,7.2.3,Abstraction of surface water (agricultural use),Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281941,9.3,Agricultural & forestry effluents,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85281990,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281990,2.1.3,Agro-industry farming,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281990,2.2.2,Agro-industry plantations,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281990,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281990,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281990,2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281990,5.4,Fishing & harvesting aquatic resources,Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,NA,NA,NA
85281990,5.4,Fishing & harvesting aquatic resources,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281990,7.2.3,Abstraction of surface water (agricultural use),Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85281990,9.3,Agricultural & forestry effluents,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
85289614,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85289614,2.1.2,Small-holder farming,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85289614,2.1.3,Agro-industry farming,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85289614,2.2.2,Agro-industry plantations,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85289614,2.3,Livestock farming & ranching,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85289614,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85289614,2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85289826,2.3,Livestock farming & ranching,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85289826,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85289826,2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85333513,9.3,Agricultural & forestry effluents,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85333513,9.3.3,Herbicides and pesticides,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85535522,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85535522,2.1.1,Shifting agriculture,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85535522,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85535522,2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85535522,9.3,Agricultural & forestry effluents,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85535522,9.3.3,Herbicides and pesticides,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85566997,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85566997,2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,NA,NA,NA
85567062,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85567062,2.1.2,Small-holder farming,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85567062,2.1.3,Agro-industry farming,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85567062,2.2.1,Small-holder plantations,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85567062,2.2.2,Agro-industry plantations,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,NA,NA,NA
85665238,2.3,Livestock farming & ranching,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,NA,NA,NA
85719017,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
85719017,2.1.2,Small-holder farming,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
85719034,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85719034,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85719057,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
85719057,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,NA,NA,NA
85719057,2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,NA,NA,NA
